freq[MHz],Group Delay set A (ns),Group Delay set B (ns),Group Delay set C (ns),St. Dev. (ns),,
5,10.12,10.11,10.24,0.06,,
16.225,10.12,10.11,10.12,0.00,,
27.45,10.11,10.1,9.96,0.07,,
38.675,10.11,10.1,10.23,0.06,,
49.9,10.1,10.09,9.98,0.05,,
61.125,10.1,10.09,10.24,0.07,,
72.35,10.09,10.09,10,0.04,,
83.575,10.08,10.08,9.98,0.05,,
94.8,10.08,10.07,10.17,0.04,,
106.025,10.08,10.07,10.03,0.02,,
117.25,10.08,10.07,10.13,0.03,,
128.475,10.07,10.07,9.98,0.04,,
139.7,10.07,10.07,10.03,0.02,,
150.925,10.07,10.07,10.17,0.05,,
162.15,10.07,10.07,10.05,0.01,,
173.375,10.07,10.07,10.09,0.01,,
184.6,10.07,10.07,9.98,0.04,,
195.825,10.07,10.06,10.09,0.01,,
207.05,10.06,10.06,10.06,0.00,,
218.275,10.06,10.06,10.13,0.03,,
229.5,10.06,10.06,10.11,0.02,,
240.725,10.06,10.06,9.96,0.05,,
251.95,10.07,10.06,10.11,0.02,,
263.175,10.07,10.07,10,0.03,,
274.4,10.07,10.07,9.94,0.06,,
285.625,10.07,10.07,9.99,0.04,,
296.85,10.07,10.07,10.12,0.02,,
308.075,10.07,10.07,10.18,0.05,,
319.3,10.07,10.07,10.19,0.06,,
330.525,10.07,10.07,10.2,0.06,,
341.75,10.07,10.07,10.22,0.07,,
352.975,10.07,10.07,10.22,0.07,,
364.2,10.07,10.07,10.15,0.04,,
375.425,10.08,10.08,9.93,0.07,,
386.65,10.09,10.08,10.06,0.01,,
397.875,10.09,10.09,10.19,0.05,,
409.1,10.09,10.09,10,0.04,,
420.325,10.09,10.09,9.95,0.07,,
431.55,10.09,10.09,10.24,0.07,,
442.775,10.09,10.09,10.19,0.05,,
454,10.1,10.1,10.15,0.02,,
465.225,10.1,10.1,10.05,0.02,,
476.45,10.1,10.1,10.22,0.06,,
487.675,10.11,10.11,10.08,0.01,,
498.9,10.11,10.11,10.14,0.01,,
510.125,10.11,10.11,9.99,0.06,,
521.35,10.12,10.12,10.26,0.07,,
532.575,10.12,10.12,10.07,0.02,,
543.8,10.12,10.12,10.07,0.02,,
555.025,10.12,10.12,10.13,0.00,,
566.25,10.12,10.12,10.12,0.00,,
577.475,10.13,10.13,10.19,0.03,,
588.7,10.13,10.13,10.06,0.03,,
599.925,10.14,10.14,10.17,0.01,,
611.15,10.14,10.14,10.24,0.05,,
622.375,10.14,10.14,10.2,0.03,,
633.6,10.15,10.15,10.02,0.06,,
644.825,10.15,10.15,10.26,0.05,,
656.05,10.15,10.14,10.23,0.04,,
667.275,10.15,10.14,10.06,0.04,,
678.5,10.15,10.14,10.06,0.04,,
689.725,10.15,10.15,10.22,0.03,,
700.95,10.15,10.15,10.01,0.07,,
712.175,10.15,10.15,10.27,0.06,,
723.4,10.15,10.15,10.12,0.01,,
734.625,10.16,10.16,10.27,0.05,,
745.85,10.16,10.16,10.19,0.01,,
757.075,10.16,10.16,10.27,0.05,,
768.3,10.16,10.16,10.18,0.01,,
779.525,10.16,10.16,10.04,0.06,,
790.75,10.16,10.16,10.2,0.02,,
801.975,10.16,10.16,10.23,0.03,,
813.2,10.16,10.16,10.2,0.02,,
824.425,10.16,10.17,10.22,0.03,,
835.65,10.17,10.17,10.14,0.01,,
846.875,10.17,10.17,10.25,0.04,,
858.1,10.17,10.17,10.21,0.02,,
869.325,10.17,10.17,10.25,0.04,,
880.55,10.18,10.18,10.12,0.03,,
891.775,10.18,10.18,10.31,0.06,,
903,10.18,10.18,10.32,0.07,,
914.225,10.18,10.18,10.16,0.01,,
925.45,10.18,10.18,10.07,0.05,,
936.675,10.18,10.18,10.17,0.00,,
947.9,10.18,10.18,10.05,0.06,,
959.125,10.18,10.18,10.12,0.03,,
970.35,10.18,10.18,10.32,0.07,,
981.575,10.18,10.18,10.09,0.04,,
992.8,10.18,10.19,10.14,0.02,,
1004.025,10.19,10.19,10.17,0.01,,
1015.25,10.19,10.19,10.2,0.00,,
1026.475,10.19,10.19,10.32,0.06,,
1037.7,10.19,10.2,10.3,0.05,,
1048.925,10.2,10.2,10.19,0.00,,
1060.15,10.2,10.2,10.2,0.00,,
1071.375,10.2,10.2,10.06,0.07,,
1082.6,10.21,10.21,10.31,0.05,,
1093.825,10.21,10.21,10.34,0.06,,
1105.05,10.21,10.21,10.32,0.05,,
1116.275,10.21,10.22,10.27,0.03,,
1127.5,10.21,10.21,10.12,0.04,,
1138.725,10.21,10.21,10.12,0.04,,
1149.95,10.21,10.21,10.32,0.05,,
1161.175,10.22,10.22,10.11,0.05,,
1172.4,10.22,10.22,10.3,0.04,,
1183.625,10.23,10.23,10.18,0.02,,
1194.85,10.24,10.24,10.24,0.00,,
1206.075,10.24,10.24,10.33,0.04,,
1217.3,10.25,10.25,10.11,0.07,,
1228.525,10.25,10.25,10.27,0.01,,
1239.75,10.25,10.25,10.38,0.06,,
1250.975,10.25,10.24,10.28,0.02,,
1262.2,10.24,10.24,10.22,0.01,,
1273.425,10.24,10.24,10.14,0.05,,
1284.65,10.25,10.25,10.22,0.01,,
1295.875,10.25,10.25,10.19,0.03,,
