Frequency (MHz),Insertion Loss set A (dB),Insertion Loss set B (dB),Insertion Loss set C (dB),St. Dev (dB)
5,11.45,11.49,11.42,0.03
16,11.53,11.54,11.51,0.01
27,11.56,11.56,11.59,0.01
39,11.60,11.61,11.56,0.02
50,11.65,11.67,11.60,0.03
61,11.70,11.72,11.66,0.03
72,11.75,11.76,11.77,0.01
84,11.79,11.79,11.76,0.02
95,11.81,11.81,11.79,0.01
106,11.84,11.83,11.79,0.02
117,11.85,11.85,11.85,0.00
128,11.86,11.86,11.82,0.02
140,11.88,11.87,11.87,0.01
151,11.89,11.89,11.86,0.01
162,11.91,11.90,11.96,0.02
173,11.92,11.91,11.96,0.02
185,11.93,11.92,11.97,0.02
196,11.95,11.93,11.92,0.01
207,11.96,11.94,11.91,0.02
218,11.97,11.95,11.93,0.02
230,11.98,11.96,12.02,0.02
241,11.98,11.96,12.00,0.02
252,11.99,11.96,11.97,0.01
263,11.98,11.95,11.96,0.01
274,11.98,11.95,11.99,0.02
286,11.97,11.95,11.96,0.01
297,11.97,11.94,12.00,0.02
308,11.97,11.94,11.97,0.02
319,11.97,11.94,11.94,0.02
331,11.97,11.93,11.96,0.02
342,11.96,11.93,11.93,0.02
353,11.95,11.91,11.93,0.02
364,11.93,11.88,11.92,0.02
375,11.90,11.86,11.89,0.02
387,11.88,11.84,11.86,0.02
398,11.87,11.82,11.88,0.02
409,11.85,11.82,11.82,0.02
420,11.84,11.81,11.89,0.03
432,11.84,11.79,11.81,0.02
443,11.82,11.78,11.81,0.02
454,11.81,11.76,11.77,0.02
465,11.80,11.75,11.80,0.03
476,11.77,11.72,11.78,0.03
488,11.75,11.70,11.75,0.03
499,11.73,11.67,11.69,0.02
510,11.71,11.65,11.68,0.02
521,11.69,11.64,11.73,0.04
533,11.68,11.63,11.66,0.02
544,11.66,11.61,11.70,0.03
555,11.66,11.60,11.69,0.04
566,11.64,11.58,11.60,0.03
577,11.63,11.57,11.65,0.03
589,11.60,11.54,11.57,0.02
600,11.59,11.53,11.57,0.03
611,11.57,11.51,11.53,0.03
622,11.55,11.49,11.53,0.02
634,11.55,11.49,11.55,0.03
645,11.54,11.48,11.53,0.02
656,11.53,11.48,11.53,0.02
667,11.54,11.48,11.56,0.03
679,11.54,11.48,11.54,0.03
690,11.54,11.47,11.57,0.04
701,11.53,11.47,11.50,0.03
712,11.52,11.46,11.50,0.03
723,11.51,11.45,11.50,0.03
735,11.51,11.45,11.49,0.03
746,11.51,11.45,11.51,0.03
757,11.51,11.45,11.49,0.03
768,11.52,11.46,11.55,0.04
780,11.52,11.46,11.51,0.03
791,11.53,11.46,11.53,0.03
802,11.53,11.46,11.55,0.04
813,11.52,11.46,11.57,0.04
824,11.53,11.46,11.57,0.04
836,11.54,11.47,11.51,0.03
847,11.56,11.48,11.54,0.03
858,11.57,11.50,11.55,0.03
869,11.58,11.51,11.53,0.03
881,11.59,11.51,11.59,0.04
892,11.59,11.51,11.58,0.03
903,11.59,11.51,11.57,0.03
914,11.59,11.52,11.62,0.04
925,11.61,11.54,11.60,0.03
937,11.64,11.56,11.67,0.04
948,11.67,11.59,11.71,0.05
959,11.70,11.62,11.72,0.05
970,11.72,11.64,11.68,0.03
982,11.73,11.64,11.72,0.04
993,11.73,11.64,11.74,0.04
1004,11.73,11.64,11.73,0.04
1015,11.74,11.66,11.70,0.03
1026,11.76,11.68,11.78,0.04
1038,11.79,11.71,11.84,0.05
1049,11.82,11.74,11.79,0.03
1060,11.85,11.77,11.86,0.04
1071,11.87,11.78,11.88,0.05
1083,11.88,11.79,11.92,0.05
1094,11.89,11.80,11.88,0.04
1105,11.90,11.81,11.89,0.04
1116,11.93,11.84,11.94,0.04
1128,11.97,11.88,11.99,0.05
1139,12.02,11.93,12.06,0.05
1150,12.06,11.97,12.04,0.04
1161,12.10,12.01,12.11,0.05
1172,12.12,12.03,12.08,0.04
1184,12.14,12.04,12.15,0.05
1195,12.15,12.06,12.15,0.04
1206,12.17,12.08,12.17,0.04
1217,12.21,12.12,12.19,0.04
1229,12.26,12.17,12.21,0.04
1240,12.32,12.23,12.28,0.04
1251,12.39,12.30,12.35,0.04
1262,12.45,12.36,12.47,0.05
1273,12.51,12.41,12.47,0.04
1285,12.55,12.46,12.51,0.04
1296,12.60,12.50,12.64,0.06
1307,12.65,12.56,12.66,0.04
1318,12.72,12.62,12.72,0.05
1330,12.79,12.69,12.78,0.04
1341,12.87,12.78,12.84,0.04
1352,12.97,12.88,12.99,0.05
1363,13.08,12.98,13.04,0.04
1374,13.18,13.09,13.17,0.04
1386,13.28,13.19,13.24,0.03
1397,13.38,13.29,13.42,0.06
1408,13.47,13.38,13.46,0.04
1419,13.56,13.47,13.52,0.04
1431,13.66,13.55,13.68,0.06
1442,13.76,13.66,13.79,0.06
1453,13.87,13.76,13.88,0.05
1464,13.99,13.88,14.02,0.06
1475,14.10,13.99,14.13,0.06
1487,14.20,14.10,14.21,0.05
1498,14.29,14.18,14.25,0.05
1509,14.36,14.25,14.39,0.06
1520,14.43,14.31,14.43,0.06
1532,14.48,14.35,14.49,0.06
1543,14.52,14.39,14.48,0.05
1554,14.57,14.44,14.60,0.07
1565,14.62,14.50,14.62,0.06
1577,14.69,14.55,14.64,0.06
1588,14.74,14.60,14.71,0.06
1599,14.78,14.64,14.77,0.06
1610,14.80,14.66,14.82,0.07
1621,14.80,14.67,14.78,0.06
1633,14.80,14.67,14.79,0.06
1644,14.80,14.66,14.84,0.07
1655,14.80,14.67,14.80,0.06
1666,14.81,14.68,14.76,0.06
1678,14.83,14.69,14.87,0.08
1689,14.83,14.69,14.84,0.07
1700,14.82,14.69,14.83,0.07
